,symbol,description,type,exchange,currency_code,currency-logoid,base-currency-logoid,provider_id,source2,source_id,typespecs,prefix,logoid,params,contracts
7979,AEVOUSD,Aevo / USD,spot,Crypto.com,USD,country/US,crypto/XTVCAEVO,cryptocom,"{'id': 'CRYPTOCOM', 'name': 'Crypto.com', 'description': 'Crypto.com'}",CRYPTOCOM,['crypto'],CRYPTOCOM,,,
7980,AIXUSDT,AIXUSDT SPOT,spot,Bitget,USDT,,,bitget,"{'id': 'BITGET', 'name': 'Bitget', 'description': 'Bitget'}",BITGET,['crypto'],BITGET,,,
7981,ANKRUSDT,ANKRUSDT SPOT,spot,Bybit,USDT,crypto/XTVCUSDT,crypto/XTVCANKR,bybit,"{'id': 'BYBIT', 'name': 'Bybit', 'description': 'Bybit'}",BYBIT,"['crypto', 'defi']",BYBIT,,,
7982,APUWETH_5CED44,APU APUSTAJA / WRAPPED ETHER on Ethereum (5CED44...89E3ED),spot,Uniswap v2 Ethereum,WETH,crypto/XTVCWETH,crypto/XTVCAPUAP,uniswap,"{'id': 'UNISWAP', 'name': 'Uniswap', 'description': 'Uniswap'}",UNISWAP,['crypto'],UNISWAP,,,
7983,BNBUSD,Binance Coin vs US Dollar,spot,PEPPERSTONE,USD,country/US,crypto/XTVCBNB,pepperstone,"{'id': 'PEPPERSTONE', 'name': 'Pepperstone', 'description': 'Pepperstone'}",PEPPERSTONE,"['crypto', 'cfd']",,,,
7984,DBRUSDT.P,DEBRIDGE/USD TETHER PERPETUAL SWAP CONTRACT,swap,BloFin,USDT,,,blofin,"{'id': 'BLOFIN', 'name': 'BloFin', 'description': 'BloFin'}",BLOFIN,"['crypto', 'perpetual']",BLOFIN,,,
7985,DOGEUSDT,DOGECOIN/USD TETHER,spot,BloFin,USDT,crypto/XTVCUSDT,crypto/XTVCDOGE,blofin,"{'id': 'BLOFIN', 'name': 'BloFin', 'description': 'BloFin'}",BLOFIN,['crypto'],BLOFIN,,,
7986,ETHUSD,Ethereum vs US Dollar,spot,FPMARKETS,USD,country/US,crypto/XTVCETH,fpmarkets,"{'id': 'FPMARKETS', 'name': 'FP Markets', 'description': 'FP Markets'}",FPMARKETS,"['crypto', 'cfd']",,,,
7987,FOFARUSDT,FOFAR (FOFAR.MEME) / TETHER,spot,CoinEx,USDT,,,coinex,"{'id': 'COINEX', 'name': 'coinEx', 'description': 'coinEx'}",COINEX,['crypto'],COINEX,,,
7988,GNOUSDT,Gnosis/Tether,spot,Gate.io,USDT,crypto/XTVCUSDT,crypto/XTVCGNO,gateio,"{'id': 'GATEIO', 'name': 'Gate.io', 'description': 'Gate.io'}",GATEIO,"['crypto', 'defi']",GATEIO,,,
7989,GTCUSDT.P,GTC/USDT Perpetual Contract,swap,BingX,USDT,crypto/XTVCUSDT,crypto/XTVCGTCG,bingx,"{'id': 'BINGX', 'name': 'BingX', 'description': 'BingX'}",BINGX,"['crypto', 'perpetual']",BINGX,,,
7990,IMGNAIWETH_E471F9.USD,IMAGE GENERATION AI IMGNAICOM / WRAPPED ETHER on Ethereum (E471F9...34E8C4) in USD,spot,Uniswap v2 Ethereum,USD,country/US,crypto/XTVCIMGNAI,uniswap,"{'id': 'UNISWAP', 'name': 'Uniswap', 'description': 'Uniswap'}",UNISWAP,['crypto'],UNISWAP,,,
7991,IVFUNUSDT,Invest Zone / Tether USD,spot,Poloniex,USDT,,,poloniex,"{'id': 'POLONIEX', 'name': 'Poloniex', 'description': 'Poloniex'}",POLONIEX,['crypto'],POLONIEX,,,
7992,JTOUSDT,Jito/Tether,spot,Gate.io,USDT,crypto/XTVCUSDT,crypto/XTVCJTO,gateio,"{'id': 'GATEIO', 'name': 'Gate.io', 'description': 'Gate.io'}",GATEIO,"['crypto', 'defi']",GATEIO,,,
7993,KAVAUSDT,KAVAUSDT SPOT,spot,Bybit,USDT,crypto/XTVCUSDT,crypto/XTVCKAVA,bybit,"{'id': 'BYBIT', 'name': 'Bybit', 'description': 'Bybit'}",BYBIT,"['crypto', 'defi']",BYBIT,,,
7994,KYVEUSDT,KYVE Network/Tether,spot,Gate.io,USDT,crypto/XTVCUSDT,crypto/XTVCKYVE,gateio,"{'id': 'GATEIO', 'name': 'Gate.io', 'description': 'Gate.io'}",GATEIO,['crypto'],GATEIO,,,
7995,LEVERUSDT.P,LEVERUSDTPERP PERPETUAL MIX CONTRACT,swap,Bitget,USDT,crypto/XTVCUSDT,crypto/XTVCLEVER,bitget,"{'id': 'BITGET', 'name': 'Bitget', 'description': 'Bitget'}",BITGET,"['crypto', 'perpetual', 'defi']",BITGET,,,
7996,LINAUSDT,Linear / USDT,spot,MEXC,USDT,crypto/XTVCUSDT,crypto/XTVCLINA,mexc,"{'id': 'MEXC', 'name': 'MEXC', 'description': 'MEXC'}",MEXC,"['crypto', 'defi']",,,,
7997,LOGXUSDT,LogX Network / Tether,spot,KuCoin,USDT,,,kucoin,"{'id': 'KUCOIN', 'name': 'KuCoin', 'description': 'KuCoin'}",KUCOIN,"['crypto', 'defi']",KUCOIN,,,
7998,LRCUSD,LRC / U. S. Dollar,spot,Kraken,USD,country/US,crypto/XTVCLRC,kraken,"{'id': 'KRAKEN', 'name': 'Kraken', 'description': 'Kraken'}",KRAKEN,"['crypto', 'defi']",KRAKEN,,,
7999,MONGWETH_7054B0,MONGCOIN / WRAPPED ETHER on Ethereum (7054B0...62775C),spot,Uniswap v2 Ethereum,WETH,crypto/XTVCWETH,crypto/XTVCMONG,uniswap,"{'id': 'UNISWAP', 'name': 'Uniswap', 'description': 'Uniswap'}",UNISWAP,['crypto'],UNISWAP,,,
8000,MONGWETH_7054B0,MONGCOIN / WRAPPED ETHER on Ethereum (7054B0...62775C),spot,Uniswap v2 Ethereum,WETH,crypto/XTVCWETH,crypto/XTVCMONG,uniswap,"{'id': 'UNISWAP', 'name': 'Uniswap', 'description': 'Uniswap'}",UNISWAP,['crypto'],UNISWAP,,,
8001,STOSUSDT,Stratos / USDT,spot,MEXC,USDT,crypto/XTVCUSDT,crypto/XTVCSTOS,mexc,"{'id': 'MEXC', 'name': 'MEXC', 'description': 'MEXC'}",MEXC,['crypto'],,,,
8002,TELBTC,Telcoin / Bitcoin,spot,KuCoin,BTC,crypto/XTVCBTC,crypto/XTVCTEL,kucoin,"{'id': 'KUCOIN', 'name': 'KuCoin', 'description': 'KuCoin'}",KUCOIN,['crypto'],KUCOIN,,,
8003,WIFUSDT.P,DOGWIFHAT / TETHER PERPETUAL FUTURES,swap,WOO X,USDT,crypto/XTVCUSDT,crypto/XTVCWIF,woonetwork,"{'id': 'WOONETWORK', 'name': 'Woo', 'description': 'Woo'}",WOONETWORK,"['crypto', 'perpetual']",WOONETWORK,,,
8004,XAHUSDT,XAHAU/TETHER USDT,spot,Bitrue,USDT,crypto/XTVCUSDT,crypto/XTVCXAH,bitrue,"{'id': 'BITRUE', 'name': 'Bitrue', 'description': 'Bitrue'}",BITRUE,['crypto'],BITRUE,,,
8005,XAUTUSD,Tether Gold,spot,CRYPTO,USD,country/US,crypto/XTVCXAUT,tvc,"{'id': 'CRYPTO', 'name': 'Crypto assets', 'description': 'Crypto assets'}",CRYPTO,"['crypto', 'cryptoasset', 'synthetic']",,,,
8006,XMRUSDT,Monero / Tether USD,spot,HTX,USDT,crypto/XTVCUSDT,crypto/XTVCXMR,htx,"{'id': 'HTX', 'name': 'HTX', 'description': 'HTX'}",HTX,['crypto'],,,,
8007,ZECUSDT,Zcash / USDT,spot,MEXC,USDT,crypto/XTVCUSDT,crypto/XTVCZEC,mexc,"{'id': 'MEXC', 'name': 'MEXC', 'description': 'MEXC'}",MEXC,['crypto'],,,,
8008,AEVOUSDC.P,AEVOPERP Perpetual Contract,swap,Bybit,USDC,crypto/XTVCUSDC,crypto/XTVCAEVO,bybit,"{'id': 'BYBIT', 'name': 'Bybit', 'description': 'Bybit'}",BYBIT,"['crypto', 'perpetual']",BYBIT,,,
8009,ALGOUSDT,Algorand (ALGO) / Tether USD,spot,HTX,USDT,crypto/XTVCUSDT,crypto/XTVCALGO,htx,"{'id': 'HTX', 'name': 'HTX', 'description': 'HTX'}",HTX,['crypto'],,,,
8010,APUWETH_5CED44,APU APUSTAJA / WRAPPED ETHER on Ethereum (5CED44...89E3ED),spot,Uniswap v2 Ethereum,WETH,crypto/XTVCWETH,crypto/XTVCAPUAP,uniswap,"{'id': 'UNISWAP', 'name': 'Uniswap', 'description': 'Uniswap'}",UNISWAP,['crypto'],UNISWAP,,,
8011,BOMEUSD,BOME / US Dollar,spot,Binance,USD,country/US,crypto/XTVCBOME,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'tv-calculated-pair', 'synthetic']",BINANCE,,,
8012,BTCCAD,Bitcoin vs Canadian Dollar,spot,CFI,CAD,country/CA,crypto/XTVCBTC,cfifinancial,"{'id': 'CFI', 'name': 'CFI Financial', 'description': 'CFI Financial'}",CFI,"['crypto', 'cfd']",,,,
8013,CATUSDT.P,SIMON'S CAT/USD TETHER PERPETUAL SWAP CONTRACT,swap,BloFin,USDT,crypto/XTVCUSDT,crypto/XTVCCATSI,blofin,"{'id': 'BLOFIN', 'name': 'BloFin', 'description': 'BloFin'}",BLOFIN,"['crypto', 'perpetual']",BLOFIN,,,
8014,COTIUSDT,COTI / USDT,spot,MEXC,USDT,crypto/XTVCUSDT,crypto/XTVCCOTI,mexc,"{'id': 'MEXC', 'name': 'MEXC', 'description': 'MEXC'}",MEXC,"['crypto', 'defi']",,,,
8015,DNXUSDT,Dynex/Tether,spot,Gate.io,USDT,crypto/XTVCUSDT,crypto/XTVCDNX2,gateio,"{'id': 'GATEIO', 'name': 'Gate.io', 'description': 'Gate.io'}",GATEIO,['crypto'],GATEIO,,,
8016,DOGEUSD.P,DOGEUSDPERP PERPETUAL MIX CONTRACT,swap,Bitget,USD,country/US,crypto/XTVCDOGE,bitget,"{'id': 'BITGET', 'name': 'Bitget', 'description': 'Bitget'}",BITGET,"['crypto', 'perpetual']",BITGET,,,
8017,GRIMWFTM_814976.USD,GRIM / WRAPPED FANTOM on Fantom (814976...F1B92D) in USD,spot,SpookySwap v2 Fantom,USD,,,spookyswap,"{'id': 'SPOOKYSWAP', 'name': 'SpookySwap', 'description': 'SpookySwap'}",SPOOKYSWAP,['crypto'],SPOOKYSWAP,,,
8018,GRTUSDT.P,GRT Linear Perpetual Futures Contract,swap,PHEMEX,USDT,crypto/XTVCUSDT,crypto/XTVCGRAPH,phemex,"{'id': 'PHEMEX', 'name': 'Phemex', 'description': 'Phemex'}",PHEMEX,"['crypto', 'perpetual']",,,,
8019,IMGNAIWETH_E471F9.USD,IMAGE GENERATION AI IMGNAICOM / WRAPPED ETHER on Ethereum (E471F9...34E8C4) in USD,spot,Uniswap v2 Ethereum,USD,country/US,crypto/XTVCIMGNAI,uniswap,"{'id': 'UNISWAP', 'name': 'Uniswap', 'description': 'Uniswap'}",UNISWAP,['crypto'],UNISWAP,,,
8020,KAVAUSD,Kava,spot,CRYPTO,USD,country/US,crypto/XTVCKAVA,tvc,"{'id': 'CRYPTO', 'name': 'Crypto assets', 'description': 'Crypto assets'}",CRYPTO,"['crypto', 'cryptoasset', 'synthetic']",,,,
8021,KCSUSD,KuCoin Token,spot,CRYPTO,USD,country/US,crypto/XTVCKCS,tvc,"{'id': 'CRYPTO', 'name': 'Crypto assets', 'description': 'Crypto assets'}",CRYPTO,"['crypto', 'cryptoasset', 'synthetic']",,,,
8022,KLAYUSD,Klaytn,spot,CRYPTO,USD,country/US,crypto/XTVCKLAY,tvc,"{'id': 'CRYPTO', 'name': 'Crypto assets', 'description': 'Crypto assets'}",CRYPTO,"['crypto', 'cryptoasset', 'synthetic']",,,,
8023,LANDSHAREUSDT,LandShare/Tether,spot,Gate.io,USDT,crypto/XTVCUSDT,crypto/XTVCLANDS,gateio,"{'id': 'GATEIO', 'name': 'Gate.io', 'description': 'Gate.io'}",GATEIO,['crypto'],GATEIO,,,
8024,MANUSDT,Matrix AI Network / USDT,spot,MEXC,USDT,crypto/XTVCUSDT,crypto/XTVCMAN,mexc,"{'id': 'MEXC', 'name': 'MEXC', 'description': 'MEXC'}",MEXC,['crypto'],,,,
8025,MOODENGUSDT,Moo Deng / USD Tether,spot,Bitazza,USDT,crypto/XTVCUSDT,crypto/XTVCMOODENG,bitazza,"{'id': 'BITAZZA', 'name': 'Bitazza', 'description': 'Bitazza'}",BITAZZA,['crypto'],BITAZZA,,,
8026,MQTUSDT_98240F.USD,MOVEQUEST / TETHERTOKEN on Avalanche (98240F...C48199) in USD,spot,Uniswap v3 Avalanche,USD,,,uniswap3,"{'id': 'UNISWAP3AVALANCHE', 'name': 'Uniswap v3 on Avalanche', 'description': 'Uniswap v3 on Avalanche'}",UNISWAP3AVALANCHE,['crypto'],UNISWAP3AVALANCHE,,,
8027,NMTUSDT,NETMIND TOKEN/TETHER USD,spot,BitMart,USDT,crypto/XTVCUSDT,crypto/XTVCNMTN,bitmart,"{'id': 'BITMART', 'name': 'BitMart', 'description': 'BitMart'}",BITMART,['crypto'],BITMART,,,
